[2025-08-16 02:33:09.912] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=rate&val=1.0 failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-16 02:33:10.938] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=seek&val=0 failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-16 02:33:12.967] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_play failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-16 02:33:13.973] getVLCStatus error: FetchError: request to http://192.168.127.141:8080/requests/status.json failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-16 03:49:07.687] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=in_enqueue&input=%2FVolumes%2FDATA%2F01_Playouts%2FJanmashtami_Discourse%20Final%20-%202025.mp4 failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-08-16 03:49:08.013] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=pl_next failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-08-16 03:49:08.039] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=rate&val=1.0 failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-08-16 03:49:08.065] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=seek&val=0 failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-08-16 03:49:09.092] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=pl_play failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-08-16 03:49:09.117] getVLCStatus error: FetchError: request to http://192.168.127.177:8080/requests/status.json failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-08-16 11:03:16.644] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=in_enqueue&input=%2FVolumes%2FDATA%2F01_Playouts%2FSai%20Patham%20Lo%20Kanthi%20Kiranalu.mp4 failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-16 11:03:16.971] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_next failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-16 11:03:16.998] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=rate&val=1.0 failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-16 11:03:17.023] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=seek&val=0 failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-16 11:03:18.055] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_play failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-16 11:03:18.057] getVLCStatus error: FetchError: request to http://192.168.127.141:8080/requests/status.json failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-17 02:36:37.111] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=in_enqueue&input=%2FVolumes%2FDATA%2FPLAYOUT%20FOR%20MANDIR%2FSSSNCL_Finalest.mp4 failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-17 02:36:37.544] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_next failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-17 02:36:37.673] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=rate&val=1.0 failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-17 02:36:37.804] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=seek&val=0 failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-17 02:36:38.936] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_play failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-17 02:36:39.040] getVLCStatus error: FetchError: request to http://192.168.127.141:8080/requests/status.json failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-19 12:21:08.359] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=in_enqueue&input=%2FVolumes%2FDATA%2F01_Playouts%2FOdisha%20Parthi%20Yatra%202025%2FSRI%20SATHYA%20SAI%20ASTOTTARA%20SHATANAMAVALI%20(1).mp4 failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-19 12:21:08.693] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_next failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-19 12:21:08.720] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=rate&val=1.0 failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-19 12:21:08.747] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=seek&val=0 failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-19 12:21:09.780] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_play failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-19 12:21:09.782] getVLCStatus error: FetchError: request to http://192.168.127.141:8080/requests/status.json failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-19 12:21:46.722] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=in_enqueue&input=%2FVolumes%2FDATA%2F01_Playouts%2FOdisha%20Parthi%20Yatra%202025%2FRATHOTSAVAM%20DRAMA%20VIDEO_v2.0.mp4 failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-19 12:21:47.056] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_next failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-19 12:21:47.083] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=rate&val=1.0 failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-19 12:21:47.112] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=seek&val=0 failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-19 12:21:48.145] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_play failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-19 12:21:48.147] getVLCStatus error: FetchError: request to http://192.168.127.141:8080/requests/status.json failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-28 10:37:24.319] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=in_enqueue&input=%2FVolumes%2FDATA%2F01_Playouts%2F03_SWAMI%20sings%2FGanga%20Jatadhara%20SKH%20%20Mastered.wav failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-28 10:37:25.650] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_next failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-28 10:37:26.678] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=rate&val=1.0 failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-28 10:37:27.219] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=in_enqueue&input=%2FVolumes%2FDATA%2F01_Playouts%2F03_SWAMI%20sings%2FGanga%20Jatadhara%20SKH%20%20Mastered.wav failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-28 10:37:27.706] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=seek&val=0 failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-28 10:37:28.548] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_next failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-28 10:37:29.578] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=rate&val=1.0 failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-28 10:37:29.733] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=pl_play failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-28 10:37:30.607] sendCommand error: FetchError: request to http://192.168.127.141:8080/requests/status.json?command=seek&val=0 failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-08-28 10:37:30.735] getVLCStatus error: FetchError: request to http://192.168.127.141:8080/requests/status.json failed, reason: connect ECONNREFUSED 192.168.127.141:8080
[2025-09-01 05:15:21.587] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=in_enqueue&input=%2FVolumes%2FDATA%2F01_Playouts%2FHrudayeswara-Saieswara-SCREEN-DISPALY-TN-3%20Chennai%20Drama%20Track.mp4 failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-09-01 05:15:21.913] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=pl_next failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-09-01 05:15:21.939] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=rate&val=1.0 failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-09-01 05:15:21.965] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=seek&val=0 failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-09-01 05:15:22.992] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=pl_play failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-09-01 05:15:23.019] getVLCStatus error: FetchError: request to http://192.168.127.177:8080/requests/status.json failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-09-01 05:16:22.462] sendCommand error: FetchError: request to http://192.168.127.177:8080/requests/status.json?command=pl_stop failed, reason: connect ECONNREFUSED 192.168.127.177:8080
[2025-09-01 05:16:23.702] getVLCStatus error: FetchError: request to http://192.168.127.177:8080/requests/status.json failed, reason: connect ECONNREFUSED 192.168.127.177:8080
